gender,signup_flow,affiliate_provider,affiliate_channel,first_affiliate_tracked,signup_app,signup_method,first_browser,country_destination
Male,usual,bing,api,1,iOS,basic,Chrome,US
Male,usual,bing,api,1,iOS,facebook,Chrome,US
Male,usual,bing,api,1,iOS,LinkedIn,Safari,US
Male,usual,bing,api,1,iOS,LinkedIn,Chrome,US
Male,usual,bing,api,1,Web,basic,Chrome,US
Male,usual,bing,api,1,Web,facebook,Chrome,US
Male,usual,bing,api,1,Web,LinkedIn,Safari,US
Male,usual,bing,api,1,Web,LinkedIn,Chrome,US
Male,usual,bing,api,1,MoWeb,basic,Chrome,US
Male,usual,bing,api,1,MoWeb,facebook,Chrome,US
Male,usual,bing,api,1,MoWeb,LinkedIn,Safari,US
Male,usual,bing,api,1,MoWeb,LinkedIn,Chrome,US
Male,usual,bing,api,2,iOS,basic,Chrome,US
Male,usual,bing,api,2,iOS,facebook,Chrome,US
Male,usual,bing,api,2,iOS,LinkedIn,Safari,US
Male,usual,bing,api,2,iOS,LinkedIn,Chrome,US
Male,usual,bing,api,2,Web,basic,Chrome,US
Male,usual,bing,api,2,Web,facebook,Chrome,US
Male,usual,bing,api,2,Web,LinkedIn,Safari,US
Male,usual,bing,api,2,Web,LinkedIn,Chrome,US
Male,usual,bing,api,2,MoWeb,basic,Safari,US
Male,usual,bing,api,2,MoWeb,basic,Chrome,US
Male,usual,bing,api,2,MoWeb,facebook,Safari,US
Male,usual,bing,api,2,MoWeb,facebook,Chrome,US
Male,usual,bing,api,2,MoWeb,LinkedIn,Safari,US
Male,usual,bing,api,2,MoWeb,LinkedIn,Chrome,US
Male,usual,bing,api,3,iOS,basic,Chrome,US
Male,usual,bing,api,3,iOS,facebook,Chrome,US
Male,usual,bing,api,3,iOS,LinkedIn,Safari,US
Male,usual,bing,api,3,iOS,LinkedIn,Chrome,US
Male,usual,bing,api,3,Web,basic,Safari,US
Male,usual,bing,api,3,Web,basic,Chrome,US
Male,usual,bing,api,3,Web,facebook,Safari,US
Male,usual,bing,api,3,Web,facebook,Chrome,US
Male,usual,bing,api,3,Web,LinkedIn,Safari,US
Male,usual,bing,api,3,Web,LinkedIn,Chrome,US
Male,usual,bing,api,3,MoWeb,basic,Safari,US
Male,usual,bing,api,3,MoWeb,basic,Chrome,US
Male,usual,bing,api,3,MoWeb,facebook,Safari,US
Male,usual,bing,api,3,MoWeb,facebook,Chrome,US
Male,usual,bing,api,3,MoWeb,LinkedIn,Safari,US
Male,usual,bing,api,3,MoWeb,LinkedIn,Chrome,US
Male,usual,bing,api,more,iOS,basic,Chrome,US
Male,usual,bing,api,more,iOS,facebook,Chrome,US
Male,usual,bing,api,more,iOS,LinkedIn,Safari,US
Male,usual,bing,api,more,iOS,LinkedIn,Chrome,US
Male,usual,bing,api,more,Web,basic,Safari,US
Male,usual,bing,api,more,Web,basic,Chrome,US
Male,usual,bing,api,more,Web,facebook,Safari,US
Male,usual,bing,api,more,Web,facebook,Chrome,US
Male,usual,bing,api,more,Web,LinkedIn,Safari,US
Male,usual,bing,api,more,Web,LinkedIn,Chrome,US
Male,usual,bing,api,more,MoWeb,basic,Safari,US
Male,usual,bing,api,more,MoWeb,basic,Chrome,US
Male,usual,bing,api,more,MoWeb,facebook,Safari,US
Male,usual,bing,api,more,MoWeb,facebook,Chrome,US
Male,usual,bing,api,more,MoWeb,LinkedIn,Safari,US
Male,usual,bing,api,more,MoWeb,LinkedIn,Chrome,US
Male,usual,bing,seo,1,iOS,basic,Chrome,US
Male,usual,bing,seo,1,iOS,facebook,Chrome,US
Male,usual,bing,seo,1,iOS,LinkedIn,Safari,US
Male,usual,bing,seo,1,iOS,LinkedIn,Chrome,US
Male,usual,bing,seo,1,Web,basic,Chrome,US
Male,usual,bing,seo,1,Web,facebook,Chrome,US
Male,usual,bing,seo,1,Web,LinkedIn,Safari,US
Male,usual,bing,seo,1,Web,LinkedIn,Chrome,US
Male,usual,bing,seo,1,MoWeb,basic,Safari,US
Male,usual,bing,seo,1,MoWeb,basic,Chrome,US
Male,usual,bing,seo,1,MoWeb,facebook,Safari,US
Male,usual,bing,seo,1,MoWeb,facebook,Chrome,US
Male,usual,bing,seo,1,MoWeb,LinkedIn,Safari,US
Male,usual,bing,seo,1,MoWeb,LinkedIn,Chrome,US
Male,usual,bing,seo,2,iOS,basic,Chrome,US
Male,usual,bing,seo,2,iOS,facebook,Chrome,US
Male,usual,bing,seo,2,iOS,LinkedIn,Safari,US
Male,usual,bing,seo,2,iOS,LinkedIn,Chrome,US
Male,usual,bing,seo,2,Web,basic,Chrome,US
Male,usual,bing,seo,2,Web,facebook,Chrome,US
Male,usual,bing,seo,2,Web,LinkedIn,Safari,US
Male,usual,bing,seo,2,Web,LinkedIn,Chrome,US
Male,usual,bing,seo,2,MoWeb,basic,Safari,US
Male,usual,bing,seo,2,MoWeb,basic,Chrome,US
Male,usual,bing,seo,2,MoWeb,facebook,Safari,US
Male,usual,bing,seo,2,MoWeb,facebook,Chrome,US
Male,usual,bing,seo,2,MoWeb,LinkedIn,Safari,US
Male,usual,bing,seo,2,MoWeb,LinkedIn,Chrome,US
Male,usual,bing,seo,3,iOS,basic,Chrome,US
Male,usual,bing,seo,3,iOS,facebook,Chrome,US
Male,usual,bing,seo,3,iOS,LinkedIn,Safari,US
Male,usual,bing,seo,3,iOS,LinkedIn,Chrome,US
Male,usual,bing,seo,3,Web,basic,Safari,IT
Male,usual,bing,seo,3,Web,basic,Chrome,IT
Male,usual,bing,seo,3,Web,facebook,Safari,IT
Male,usual,bing,seo,3,Web,facebook,Chrome,IT
Male,usual,bing,seo,3,Web,LinkedIn,Safari,IT
Male,usual,bing,seo,3,Web,LinkedIn,Chrome,IT
Male,usual,bing,seo,3,MoWeb,basic,Safari,IT
Male,usual,bing,seo,3,MoWeb,basic,Chrome,IT
Male,usual,bing,seo,3,MoWeb,facebook,Safari,IT
Male,usual,bing,seo,3,MoWeb,facebook,Chrome,IT
Male,usual,bing,seo,3,MoWeb,LinkedIn,Safari,IT
Male,usual,bing,seo,3,MoWeb,LinkedIn,Chrome,IT
Male,usual,bing,seo,more,iOS,basic,Chrome,IT
Male,usual,bing,seo,more,iOS,facebook,Chrome,IT
Male,usual,bing,seo,more,iOS,LinkedIn,Safari,IT
Male,usual,bing,seo,more,iOS,LinkedIn,Chrome,IT
Male,usual,bing,seo,more,Web,basic,Safari,IT
Male,usual,bing,seo,more,Web,basic,Chrome,IT
Male,usual,bing,seo,more,Web,facebook,Safari,IT
Male,usual,bing,seo,more,Web,facebook,Chrome,IT
Male,usual,bing,seo,more,Web,LinkedIn,Safari,IT
Male,usual,bing,seo,more,Web,LinkedIn,Chrome,IT
Male,usual,bing,seo,more,MoWeb,basic,Safari,IT
Male,usual,bing,seo,more,MoWeb,basic,Chrome,IT
Male,usual,bing,seo,more,MoWeb,facebook,Safari,IT
Male,usual,bing,seo,more,MoWeb,facebook,Chrome,IT
Male,usual,bing,seo,more,MoWeb,LinkedIn,Safari,IT
Male,usual,bing,seo,more,MoWeb,LinkedIn,Chrome,IT
